interval,average_steps
0,
5,
10,
15,
20,
25,
30,
35,
40,
45,
50,
55,
100,
105,
110,
115,
120,
125,
130,
135,
140,
145,
150,
155,
200,
205,
210,
215,
220,
225,
230,
235,
240,
245,
250,
255,
300,
305,
310,
315,
320,
325,
330,
335,
340,
345,
350,
355,
400,
405,
410,
415,
420,
425,
430,
435,
440,
445,
450,
455,
500,
505,
510,
515,
520,
525,
530,
535,
540,
545,
550,
555,
600,
605,
610,
615,
620,
625,
630,
635,
640,
645,
650,
655,
700,
705,
710,
715,
720,
725,
730,
735,
740,
745,
750,
755,
800,
805,
810,
815,
820,
825,
830,
835,
840,
845,
850,
855,
900,
905,
910,
915,
920,
925,
930,
935,
940,
945,
950,
955,
1000,
1005,
1010,
1015,
1020,
1025,
1030,
1035,
1040,
1045,
1050,
1055,
1100,
1105,
1110,
1115,
1120,
1125,
1130,
1135,
1140,
1145,
1150,
1155,
1200,
1205,
1210,
1215,
1220,
1225,
1230,
1235,
1240,
1245,
1250,
1255,
1300,
1305,
1310,
1315,
1320,
1325,
1330,
1335,
1340,
1345,
1350,
1355,
1400,
1405,
1410,
1415,
1420,
1425,
1430,
1435,
1440,
1445,
1450,
1455,
1500,
1505,
1510,
1515,
1520,
1525,
1530,
1535,
1540,
1545,
1550,
1555,
1600,
1605,
1610,
1615,
1620,
1625,
1630,
1635,
1640,
1645,
1650,
1655,
1700,
1705,
1710,
1715,
1720,
1725,
1730,
1735,
1740,
1745,
1750,
1755,
1800,
1805,
1810,
1815,
1820,
1825,
1830,
1835,
1840,
1845,
1850,
1855,
1900,
1905,
1910,
1915,
1920,
1925,
1930,
1935,
1940,
1945,
1950,
1955,
2000,
2005,
2010,
2015,
2020,
2025,
2030,
2035,
2040,
2045,
2050,
2055,
2100,
2105,
2110,
2115,
2120,
2125,
2130,
2135,
2140,
2145,
2150,
2155,
2200,
2205,
2210,
2215,
2220,
2225,
2230,
2235,
2240,
2245,
2250,
2255,
2300,
2305,
2310,
2315,
2320,
2325,
2330,
2335,
2340,
2345,
2350,
2355,
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
400,0
405,0
410,0
415,0
420,0
425,0
430,0
435,0
440,0
445,0
450,0
455,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,0
540,0
545,0
550,0
555,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
800,0
805,0
810,0
815,0
820,0
825,0
830,0
835,0
840,0
845,0
850,0
855,0
900,0
905,0
910,0
915,0
920,0
925,0
930,0
935,0
940,0
945,0
950,0
955,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1100,0
1105,0
1110,0
1115,0
1120,0
1125,0
1130,0
1135,0
1140,0
1145,0
1150,0
1155,0
1200,0
1205,0
1210,0
1215,0
1220,0
1225,0
1230,0
1235,0
1240,0
1245,0
1250,0
1255,0
1300,0
1305,0
1310,0
1315,0
1320,0
1325,0
1330,0
1335,0
1340,0
1345,0
1350,0
1355,0
1400,0
1405,0
1410,0
1415,0
1420,0
1425,0
1430,0
1435,0
1440,0
1445,0
1450,0
1455,0
1500,0
1505,0
1510,0
1515,0
1520,0
1525,0
1530,0
1535,0
1540,0
1545,0
1550,0
1555,0
1600,0
1605,0
1610,0
1615,0
1620,0
1625,0
1630,0
1635,0
1640,0
1645,0
1650,0
1655,0
1700,0
1705,0
1710,0
1715,0
1720,0
1725,0
1730,0
1735,0
1740,0
1745,0
1750,0
1755,0
1800,0
1805,0
1810,0
1815,0
1820,0
1825,0
1830,0
1835,0
1840,0
1845,0
1850,0
1855,0
1900,0
1905,0
1910,0
1915,0
1920,0
1925,0
1930,0
1935,0
1940,0
1945,0
1950,0
1955,0
2000,0
2005,0
2010,0
2015,0
2020,0
2025,0
2030,0
2035,0
2040,0
2045,0
2050,0
2055,0
2100,0
2105,0
2110,0
2115,0
2120,0
2125,0
2130,0
2135,0
2140,0
2145,0
2150,0
2155,0
2200,0
2205,0
2210,117
2215,9
2220,0
2225,0
2230,0
2235,0
2240,0
2245,0
2250,0
2255,0
2300,0
2305,0
2310,0
2315,0
2320,0
2325,0
2330,0
2335,0
2340,0
2345,0
2350,0
2355,0
0,0
5,0
10,0
15,0
20,0
25,0
30,0
35,0
40,0
45,0
50,0
55,0
100,0
105,0
110,0
115,0
120,0
125,0
130,0
135,0
140,0
145,0
150,0
155,0
200,0
205,0
210,0
215,0
220,0
225,0
230,0
235,0
240,0
245,0
250,0
255,0
300,0
305,0
310,0
315,0
320,0
325,0
330,0
335,0
340,0
345,0
350,0
355,0
400,0
405,0
410,4
415,0
420,0
425,0
430,36
435,0
440,0
445,0
450,0
455,0
500,0
505,0
510,0
515,0
520,0
525,0
530,0
535,25
540,0
545,0
550,90
555,411
600,413
605,415
610,519
615,529
620,613
625,562
630,612
635,534
640,323
645,600
650,533
655,251
700,56
705,0
710,32
715,80
720,10
725,9
730,145
735,46
740,0
745,44
750,126
755,42
800,138
805,53
810,0
815,0
820,22
825,57
830,161
835,19
840,15
845,0
850,16
855,0
900,0
905,8
910,0
915,51
920,516
925,245
930,0
935,161
940,7
945,0
950,0
955,0
1000,0
1005,0
1010,0
1015,0
1020,0
1025,0
1030,0
1035,0
1040,0
1045,0
1050,0
1055,0
1100,0
